AgentID,FullName,TeamID,Role,Specialisms,Hub,DailyCapacity,IsActive
1,Parveen Szymański,1,Senior Agent,"Document Request,Insurance Query,Appointment Change",Manchester,16,1
2,Kirsty Morrison,1,Team Lead,"Document Request,Insurance Query,Complaint",Manchester,11,1
3,Alexander Johnson,1,Senior Agent,"Appointment Change,Billing Issue",Manchester,19,1
4,Eleanor Patel,1,Agent,"Insurance Query,Complaint",Manchester,19,1
5,Aisha Szymański,1,Agent,"Insurance Query,Appointment Change,Document Request",Manchester,21,1
6,Morag Iqbal,1,Agent,"Complaint,Insurance Query",Manchester,20,1
7,Charlotte Okafor,1,Agent,Appointment Change,Manchester,18,1
8,Niamh Nguyen,1,Agent,"Insurance Query,Billing Issue,Document Request",Manchester,21,1
9,Liam Szymański,1,Senior Agent,"Billing Issue,Insurance Query,Appointment Change",Manchester,19,1
10,Eleanor Iqbal,1,Agent,"Document Request,Complaint",Manchester,27,1
11,Amelia Clarke,1,Agent,"Complaint,Appointment Change,Document Request",Manchester,20,1
12,Chloe Fraser,1,Agent,"Document Request,Appointment Change",Manchester,28,1
13,Amelia Szymański,1,Agent,"Insurance Query,Appointment Change,Document Request",Manchester,25,1
14,Amit Patel,1,Agent,"Appointment Change,Insurance Query",Manchester,28,1
15,Edward Kowalczyk,1,Agent,"Billing Issue,Appointment Change,Insurance Query",Manchester,22,1
16,Duncan Campbell,1,Agent,"Billing Issue,Appointment Change",Manchester,20,1
17,Jacob Murphy,1,Agent,"Insurance Query,Billing Issue",Manchester,19,1
18,Alfie Szymański,1,Agent,Complaint,Manchester,19,1
19,Fiona Kofi,1,Agent,"Complaint,Billing Issue,Document Request",Manchester,20,1
20,Eva Osei,1,Agent,"Billing Issue,Insurance Query,Document Request",Manchester,26,1
21,Yasmin Thomas,1,Agent,Billing Issue,Manchester,25,1
22,Freddie Wilson,1,Agent,"Billing Issue,Document Request,Appointment Change",Manchester,27,1
23,Thomas Wiśniewski,1,Agent,"Appointment Change,Billing Issue",Manchester,18,1
24,Patrick Mensah,1,Agent,"Document Request,Complaint,Appointment Change",Manchester,20,1
25,Arjun Bakare,1,Agent,"Complaint,Insurance Query,Billing Issue",Manchester,19,1
26,Lucy Anderson,1,Agent,"Appointment Change,Document Request,Billing Issue",Manchester,18,1
27,Kavya O'Sullivan,1,Agent,"Complaint,Billing Issue,Document Request",Manchester,21,1
28,Charlie Woźniak,1,Agent,"Document Request,Appointment Change",Manchester,19,1
29,Arjun Wiśniewski,1,Agent,Billing Issue,Manchester,19,1
30,Maya Smith,1,Agent,Billing Issue,Manchester,24,1
31,Lily Ali,1,Operations Manager,"Insurance Query,Complaint,Document Request,Billing Issue",Manchester,6,1
32,Charlie Nowak,1,Team Lead,"Document Request,Appointment Change,Insurance Query,Billing Issue,Complaint",Manchester,8,1
33,Aoife Johnson,1,Agent,Appointment Change,Manchester,26,1
34,Angus O'Brien,1,Senior Agent,"Appointment Change,Billing Issue,Complaint,Document Request",Manchester,14,1
35,Samuel Malik,1,Senior Agent,"Appointment Change,Complaint,Insurance Query,Billing Issue",Manchester,14,1
36,Ava Byrne,1,Senior Agent,"Insurance Query,Complaint",Manchester,16,1
37,Kirsty Martin,1,Agent,Complaint,Manchester,19,1
38,Alfie O'Brien,1,Agent,"Insurance Query,Billing Issue,Complaint",Manchester,21,1
39,Alistair Zieliński,1,Agent,"Document Request,Insurance Query",Manchester,20,0
40,Isla Clarke,1,Team Lead,"Insurance Query,Appointment Change,Complaint,Billing Issue,Document Request",Manchester,14,1
41,Samuel Kowalczyk,1,Senior Agent,"Insurance Query,Billing Issue",Manchester,18,1
42,Thomas Davies,1,Agent,Complaint,Manchester,18,0
43,Ella Mensah,4,Agent,Appointment Change,Leeds,28,1
44,Priya Mensah,4,Agent,Billing Issue,Leeds,20,0
45,Isla Fraser,4,Team Lead,"Complaint,Billing Issue,Document Request,Appointment Change",Leeds,13,1
46,Parveen Reid,4,Agent,Billing Issue,Leeds,25,1
47,Fatima Okafor,4,Agent,Appointment Change,Leeds,21,1
48,Bridget Stewart,4,Agent,"Insurance Query,Complaint",Leeds,19,1
49,George Anderson,4,Agent,"Billing Issue,Insurance Query",Leeds,19,1
50,Aoife Thompson,4,Agent,"Insurance Query,Complaint,Document Request",Leeds,23,1
51,Noah Adesanya,4,Agent,Insurance Query,Leeds,27,0
52,Alfie Stewart,4,Agent,"Billing Issue,Insurance Query,Document Request",Leeds,26,1
53,Roisín Quinn,4,Agent,Insurance Query,Leeds,28,1
54,Fatima Diallo,4,Agent,"Insurance Query,Billing Issue",Leeds,23,1
55,Callum Smith,4,Agent,"Billing Issue,Insurance Query,Document Request",Leeds,24,1
56,Ananya Osei,4,Agent,"Document Request,Insurance Query",Leeds,21,1
57,Sophia Doyle,4,Agent,"Complaint,Billing Issue,Insurance Query",Leeds,21,1
58,Henry Iqbal,4,Agent,"Insurance Query,Appointment Change,Complaint",Leeds,28,1
59,Patrick Roberts,4,Senior Agent,"Appointment Change,Billing Issue",Leeds,15,1
